ポストID,日付,ポスト本文,ポストのリンク,インプレッション数,いいね,エンゲージメント,ブックマーク,共有された回数\,新しいフォロー,返信,リポスト,プロフィールへのアクセス数,詳細のクリック数,URLのクリック数,ハッシュタグのクリック数,パーマリンクのクリック数
1995213452458263036,"Sun, Nov 30, 2025",うぉー！！Google Driveのドメイン間移行が8分で終わった 個人アカウントで運用してた会社データをGoogle Workspaceに移行したかったんだけど、Googleはドメイン間のファイル移動を禁止してる 「手動でダウンロード→アップロードか…」と絶望してたら、movebotってサービス見つけた 結果： ・5.7GB https://t.co/7JzYANQnI0,https://x.com/AIBizNavigator/status/1995213452458263036,201,2,10,4,0,0,0,0,2,3,0,0,0
1995102958800019751,"Sun, Nov 30, 2025",議事録の固有名詞、毎回手直ししてない？ 人名・サービス名が音声認識で誤変換される問題、ずっと地味にストレスだった 解決策：用語集をbrainbaseに組み込んだ 仕組み： ・共通用語集（組織・サービス名） ・プロジェクト別用語集（人名・専門用語） ・LLM議事録生成時に自動注入 https://t.co/32nYKKvXK1,https://x.com/AIBizNavigator/status/1995102958800019751,145,0,4,0,0,0,0,0,0,0,0,0,0
1994945943255556225,"Sun, Nov 30, 2025",@super_bonochin 自分の知ってることならいいけど知らないことに対しても集中切れると新しいこと覚えられなくなってしまう😂 人間の成長の仕方まで再定義しないとなのかもですが,https://x.com/AIBizNavigator/status/1994945943255556225,86,0,0,0,0,0,0,0,0,0,0,0,0
1994941907609506112,"Sun, Nov 30, 2025",これはマジです うちの人材ほぼ25歳以下なのですが、全員が優秀でAI使って今はここまでできちまうのか。。。 と自分の25歳の時と比較して顎外れてます,https://x.com/AIBizNavigator/status/1994941907609506112,757,5,10,0,0,0,0,0,2,3,0,0,0
1994939928430678339,"Sun, Nov 30, 2025",これに法律だけじゃなくて税理士先生がよく見る確かなソース情報も追加してあるのがZeimsです 税務系のエージェント機能もリリース予定 もうすぐβ版リリースなのでフォローしておいてください,https://x.com/AIBizNavigator/status/1994939928430678339,1370,10,77,3,0,0,1,1,50,15,0,0,0
1994932729952309562,"Sun, Nov 30, 2025",AIに会社の仕事を任せる時、足りなかったのは「人の関係性」だった brainbaseに顧客・パートナー情報を追加して気づいた： ・誰がキーマンか ・どの案件で誰と組んでるか ・過去に何を一緒にやったか これが入ってるとAIの提案精度が変わる https://t.co/IIKEOUbVpS,https://x.com/AIBizNavigator/status/1994932729952309562,150,1,5,0,0,0,0,0,0,1,0,0,0
1994930889839849852,"Sun, Nov 30, 2025",うぉー！！ついにClaude Codeにカレンダー連携できた /schedule打つだけで今週の予定がAIに渡る 「この日空いてる？」「来週のMTG調整して」が秒で返ってくる 会社OSの文脈 + スケジュール情報 この組み合わせがマジで強い AIに「自分の分身」をやらせるなら、カレンダー情報は必須だと思う https://t.co/JpsFbpT6UO,https://x.com/AIBizNavigator/status/1994930889839849852,197,5,8,1,0,0,0,0,1,1,0,0,0
1994930312925909302,"Sun, Nov 30, 2025",Claude Codeのhooks設定をやっと整理した Stop hookを有効化したんだけど、これでAIが勝手に暴走するのを防げる 会社OSにAIを組み込む時、ガードレールの設計がマジで重要 ・何をさせるか ・何をさせないか ・どこで止めるか この3つを先に決めとかないと、AIが「やりすぎる」問題が起きる https://t.co/FfvUuuLkae,https://x.com/AIBizNavigator/status/1994930312925909302,152,2,6,0,0,0,0,0,0,1,0,0,0
1994740718049649047,"Sat, Nov 29, 2025",複数事業を回す「会社の脳」を分解してみた。 brainbase = 6つのパーツ ・正本（_codex）→ 情報の一本化 ・メタ情報 → 人・組織・RACIの定義 ・ナレッジ → スキルの索引化 ・プロジェクト → 事業別OSの格納 ・タスク → 全タスクの一元管理 ・MCP接続 → AIへのコンテキスト注入 https://t.co/fBCvtB8hpE,https://x.com/AIBizNavigator/status/1994740718049649047,150,0,9,0,0,0,0,0,3,3,0,0,0
1994601669422977494,"Sat, Nov 29, 2025",全国の中小事業者が欲しいものを作り出してしまった 去年から仕事の能率が5倍に上がっている自負があるが、まだ5倍上がる余地があった 今やってることってAIに適切なコンテキストを渡すってことがほとんどで、それが自然にできてしまうとほぼやり取りが不要 最適な判断に全てのリソースを振れる,https://x.com/AIBizNavigator/status/1994601669422977494,142,3,6,0,0,0,0,0,2,1,0,0,0
1994593996736532549,"Sat, Nov 29, 2025",議事録AIの品質を上げる方法： 「プロジェクトのコンテキストを自動注入する」 実装した仕組み： 1. brainbaseに各プロジェクトの情報を格納 2. 議事録生成時にS3からコンテキストを取得 3. LLMのプロンプトに自動追加 効果： - 「運送」→「UNSON」に自動修正 - 人名・社名が正確に OS視点： → https://t.co/atEgXzGgpf,https://x.com/AIBizNavigator/status/1994593996736532549,146,3,15,0,0,0,0,0,1,6,0,0,0
